"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"D50 (interacts with) I74","D50","I74",6.14272163528176e-06,4.77491039426523,7,1
"D50 (interacts with) I95","D50","I95",2.31172794544948e-15,4.43906331333388,11,1
"D50 (interacts with) M81","D50","M81",8.92397070170529e-12,7.0023997741389,6,1
"D62 (interacts with) C78","D62","C78",1.33849548636442e-08,5.25155925155925,11,1
"D62 (interacts with) K86","D62","K86",2.44412050442655e-06,4.66678403755869,8,2
"D63 (interacts with) A41","D63","A41",1.22009926688042e-08,6.03551550490326,11,1
"D63 (interacts with) C18","D63","C18",6.64808179543469e-06,4.45125272331155,10,2
"D63 (interacts with) C78","D63","C78",5.07916398790228e-09,6.97066553022232,11,2
"D63 (interacts with) C79","D63","C79",8.58040753262341e-08,4.76271712158809,12,1
"D63 (interacts with) D50","D63","D50",1.13335008636232e-10,5.16708402893712,8,1
"D63 (interacts with) D68","D63","D68",2.14865728493243e-16,6.99069138030017,11,1
"D63 (interacts with) D69","D63","D69",1.67481897699867e-07,4.29202883188467,12,1
"D63 (interacts with) E83","D63","E83",1.37561640184432e-11,6.70910698496905,11,1
"D63 (interacts with) I95","D63","I95",9.01488634729773e-10,7.87871009144874,11,2
"D63 (interacts with) J90","D63","J90",2.14529758925304e-09,7.46037048284239,11,2
"D63 (interacts with) L89","D63","L89",4.01992840920378e-08,5.62895256916996,11,1
"D63 (interacts with) M10","D63","M10",1.30571715745232e-06,4.25106155218555,8,2
"D63 (interacts with) M81","D63","M81",1.68647234262735e-11,5.41975349766822,7,2
"D63 (interacts with) R18","D63","R18",2.92498099073777e-13,7.07191273860538,11,1
"D64 (interacts with) D69","D64","D69",1.7617934016871e-06,5.15702866055761,6,1
"D64 (interacts with) E46","D64","E46",6.43862589793723e-06,4.04497518610422,9,1
